id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	x. wang (2018)	"<table><tr><td>Authors:</td><td>x. wang; a. gupta</td></tr><tr><td>Title:</td><td>videos as space-time region graphs</td></tr><tr><td>Source:</td><td>eccv</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://www.semanticscholar.org/paper/d7cbf2d3ea63d97b699cc04af98fea521459ee75	-0.0636	-0.1194	2	12	471	1.7939	2018	471	1.7939
2	chenyang si (2018)	"<table><tr><td>Authors:</td><td>chenyang si; ya jing; wei wang; liang wang; t. tan</td></tr><tr><td>Title:</td><td>skeleton-based action recognition with spatial reasoning and temporal stack learning</td></tr><tr><td>Source:</td><td>eccv</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://www.semanticscholar.org/paper/a84a7885af7b8c310d9c6b25c52420553bd8ef30	0.9646	-0.4117	8	2	225	0.857	2018	225	0.857
3	nanyang wang (2018)	"<table><tr><td>Authors:</td><td>nanyang wang; yinda zhang; zhuwen li; yanwei fu; w. liu; yu-gang jiang</td></tr><tr><td>Title:</td><td>pixel2mesh: generating 3d mesh models from single rgb images</td></tr><tr><td>Source:</td><td>eccv</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://www.semanticscholar.org/paper/3aa21de1a7c97e0458e10ed5730ce160bb436caa	-1.3326	-0.0624	4	5	680	2.5899	2018	680	2.5899
4	yantao shen (2018)	"<table><tr><td>Authors:</td><td>yantao shen; hongsheng li; shuai yi; dapeng chen; xiaogang wang</td></tr><tr><td>Title:</td><td>person re-identification with deep similarity-guided graph neural network</td></tr><tr><td>Source:</td><td>eccv</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://www.semanticscholar.org/paper/08d2a558ea2deb117dd8066e864612bf2899905b	-0.2064	0.2935	3	6	197	0.7503	2018	197	0.7503
10	ao luo (2020)	"<table><tr><td>Authors:</td><td>ao luo; xin li; f. yang; z. jiao; hong cheng; siwei lyu</td></tr><tr><td>Title:</td><td>cascade graph neural networks for rgb-d salient object detection</td></tr><tr><td>Source:</td><td>eccv</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/5fa528031067766ed8f7a33f408d9eb3ec78102c	-0.4579	0.0615	6	4	42	2.1768	2020	42	2.1768
12	abhijeet kumar (2017)	"<table><tr><td>Authors:</td><td>abhijeet kumar; anjali anil shenoy; avinash sharma</td></tr><tr><td>Title:</td><td>mkl based local label diffusion for automatic image annotation</td></tr><tr><td>Source:</td><td>ncvpripg</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://www.semanticscholar.org/paper/a7841bfdcb6318218faef51274f38892440454a9	0.9041	0.3133	1	1	1	0.0214	2017	1	0.0214
13	k. fu (2020)	"<table><tr><td>Authors:</td><td>k. fu; jiansheng peng; qiwen he; hanxiao zhang</td></tr><tr><td>Title:</td><td>single image 3d object reconstruction based on deep learning: a review</td></tr><tr><td>Source:</td><td>multim. tools appl.</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/b6b813dbc3903e4e500e43814170040eba622427	-1.3445	-0.1084	4	1	19	0.9848	2020	19	0.9848
14	himanshu sharma (2021)	"<table><tr><td>Authors:</td><td>himanshu sharma; a. s. jalal</td></tr><tr><td>Title:</td><td>visual question answering model based on graph neural network and contextual attention</td></tr><tr><td>Source:</td><td>image vis. comput.</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://www.semanticscholar.org/paper/7ce114e6186740c766148e50b806b20616eefd05	-0.1414	-0.1353	2	1	8	2.8571	2021	8	2.8571
16	kenneth marino (2016)	"<table><tr><td>Authors:</td><td>kenneth marino; r. salakhutdinov; a. gupta</td></tr><tr><td>Title:</td><td>the more you know: using knowledge graphs for image classification</td></tr><tr><td>Source:</td><td>2017 ieee conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://www.semanticscholar.org/paper/79baf8cf6be6510f69be8c515516136138678cf5	0.8055	0.206	1	10	235	1	2016	235	1
20	daesik kim (2017)	"<table><tr><td>Authors:</td><td>daesik kim; y. yoo; jeesoo kim; sangkuk lee; nojun kwak</td></tr><tr><td>Title:</td><td>dynamic graph generation network: generating relational knowledge from diagrams</td></tr><tr><td>Source:</td><td>2018 ieee/cvf conference on computer vision and pattern recognition</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://www.semanticscholar.org/paper/b969ae8270f113477347de9778880ff91d75ed72	0.7486	0.2497	1	1	15	0.3209	2017	15	0.3209
23	bingjie xu (2019)	"<table><tr><td>Authors:</td><td>bingjie xu; yongkang wong; junnan li; qi zhao; m. kankanhalli</td></tr><tr><td>Title:</td><td>learning to detect human-object interactions with knowledge</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/5df04e4f416c0223b7786e478b078c0f6ffd8825	0.8653	0.2515	1	1	72	0.9817	2019	72	0.9817
24	junjie zhang (2019)	"<table><tr><td>Authors:</td><td>junjie zhang; qi wu; jian zhang; chunhua shen; jianfeng lu</td></tr><tr><td>Title:</td><td>mind your neighbours: image annotation with metadata neighbourhood graph co-attention networks</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/7031d3636a1f467306f8bc95da030086f9af9eac	-0.0003	-0.0836	2	1	10	0.1363	2019	10	0.1363
25	long zhao (2019)	"<table><tr><td>Authors:</td><td>long zhao; xi peng; yu tian; mubbasir kapadia; dimitris n. metaxas</td></tr><tr><td>Title:</td><td>semantic graph convolutional networks for 3d human pose regression</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/27ff37bd17a5e59149e645184ed4a0c2fb9cf2f2	-0.8076	-0.0244	7	4	210	2.8632	2019	210	2.8632
26	jiapeng tang (2019)	"<table><tr><td>Authors:</td><td>jiapeng tang; xiaoguang han; j. pan; k. jia; xin tong</td></tr><tr><td>Title:</td><td>a skeleton-bridged deep learning approach for generating meshes of complex topologies from single rgb images</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/bcc4d9c707dc983eaa78cdb60f34e5b267e96f8c	-1.3513	-0.0187	4	1	48	0.6544	2019	48	0.6544
28	junyu gao (2019)	"<table><tr><td>Authors:</td><td>junyu gao; tianzhu zhang; changsheng xu</td></tr><tr><td>Title:</td><td>graph convolutional tracking</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/53970ae69a73f547a56661fd25f6711746d277fb	0.1399	0.2013	3	3	129	1.7588	2019	129	1.7588
29	angela dai (2018)	"<table><tr><td>Authors:</td><td>angela dai; m. nießner</td></tr><tr><td>Title:</td><td>scan2mesh: from unstructured range scans to 3d meshes</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://www.semanticscholar.org/paper/0b37c79b81b4adb12a9cb72d101778fd8277336f	-1.4401	-0.0847	4	2	57	0.2171	2018	57	0.2171
30	tianshui chen (2019)	"<table><tr><td>Authors:</td><td>tianshui chen; weihao yu; riquan chen; liang lin</td></tr><tr><td>Title:</td><td>knowledge-embedded routing network for scene graph generation</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/beb335e43da1f518ed7df3a851784925254a6a94	0.8061	0.3211	1	1	152	2.0724	2019	152	2.0724
31	lei shi (2019)	"<table><tr><td>Authors:</td><td>lei shi; yifan zhang; jian cheng; hanqing lu</td></tr><tr><td>Title:</td><td>skeleton-based action recognition with directed graph neural networks</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/68a024d7b70ef3989a6751678f635cbe754440fc	-0.1326	-0.225	2	1	265	3.6131	2019	265	3.6131
34	a. goel (2019)	"<table><tr><td>Authors:</td><td>a. goel; k. ma; cheston tan</td></tr><tr><td>Title:</td><td>an end-to-end network for generating social relationship graphs</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/be23cdcd2135a6f20b527fdba78d15da40e4653c	0.8617	0.153	1	1	16	0.2181	2019	16	0.2181
35	yichao yan (2020)	"<table><tr><td>Authors:</td><td>yichao yan; jie qin; jiaxin chen; li liu; f. zhu; ying tai; l. shao</td></tr><tr><td>Title:</td><td>learning multi-granular hypergraphs for video-based person re-identification</td></tr><tr><td>Source:</td><td>2020 ieee/cvf conference on computer vision and pattern recognition (cvpr)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/3ffcfb957d71f185c3710ede8515d96dae1fafca	-0.2657	0.1069	6	3	36	1.8659	2020	36	1.8659
36	liqiang bao (2019)	"<table><tr><td>Authors:</td><td>liqiang bao; bingpeng ma; hong chang; xilin chen</td></tr><tr><td>Title:</td><td>masked graph attention network for person re-identification</td></tr><tr><td>Source:</td><td>2019 ieee/cvf conference on computer vision and pattern recognition workshops (cvprw)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/1aeb16afe52f278a60fcdef0b0af06499eabd640	-0.2232	0.3737	3	1	21	0.2863	2019	21	0.2863
37	rangel daroya (2020)	"<table><tr><td>Authors:</td><td>rangel daroya; r. atienza; r. cajote</td></tr><tr><td>Title:</td><td>rein: flexible mesh generation from point clouds</td></tr><tr><td>Source:</td><td>2020 ieee/cvf conference on computer vision and pattern recognition workshops (cvprw)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://www.semanticscholar.org/paper/f21965dce2d234ffd3208d99ada4e9ad32286057	-1.4423	-0.0563	4	2	1	0.0518	2020	1	0.0518
38	ruiyu li (2017)	"<table><tr><td>Authors:</td><td>ruiyu li; makarand tapaswi; renjie liao; jiaya jia; r. urtasun; s. fidler</td></tr><tr><td>Title:</td><td>situation recognition with graph neural networks</td></tr><tr><td>Source:</td><td>2017 ieee international conference on computer vision (iccv)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://www.semanticscholar.org/paper/a8d52265649c16f95af71d6f548c15afc85ac905	0.8032	-0.2612	5	6	92	1.9679	2017	92	1.9679
39	jingxiao zheng (2019)	"<table><tr><td>Authors:</td><td>jingxiao zheng; ruichi yu; jun-cheng chen; boyu lu; carlos d. castillo; r. chellappa</td></tr><tr><td>Title:</td><td>uncertainty modeling of contextual-connections between tracklets for unconstrained video-based face recognition</td></tr><tr><td>Source:</td><td>2019 ieee/cvf international conference on computer vision (iccv)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://www.semanticscholar.org/paper/1fe3019eecb975092b93062570a85a47588a2f8c	-0.1676	0.3391	3	1	5	0.0682	2019	5	0.0682
